project_name,project_family,pattern_log_exists,total_classes_counted,patterns_found_count,patterns_found_description,pattern_density_ratio,pattern_density_pct,solid_decoupling_grade,solid_notes
"LCP-UML-1","UML","1","","","","","","",""
"LCP-UML-2","UML","1","","","","","","",""
"LCP-UML-3","UML","1","","","","5 / 42 = 0.12.","","",""
"LCP-UML-4","UML","1","","6","","","","",""
"LCP-UML-5","UML","1","","","","12 / 19 = 0.63","","",""
"LCP-UML-6","UML","1","","","","","","",""
"LCP-UML-7","UML","1","","","","","","",""
"LCP-UML-8","UML","1","38","2","Unit of Work via DbContext; Simple Factory in ProductsController","2 / 38 = 0.053","5.3%","C-","- Controllers depend directly on EF DbContext and entities (no Repository/Service abstractions), reducing dependency inversion. | - Business rules live in controllers (transaction scripts), so SRP and Open/Closed are weak; changes to workflows require controller edits. | - Entities are anemic data carriers; behavior is not co-located with data, risking violations of encapsulation. | - Some positives: DbContext scopes transactions/unit-of-work; optimistic concurrency token on products; clear aggregate boundaries in entities."
"LCP-UML-9","UML","1","","","","5 / 13 = 0.38","","",""
"LCP-Vibe-1","Vibe","1","","","","","","",""
"LCP-Vibe-2","Vibe","1","","","","","","",""
"LCP-Vibe-3","Vibe","1","","","","","","",""
"LCP-Vibe-4","Vibe","1","","","","","","",""
"LCP-Vibe-5","Vibe","1","31","","","0 / 31 = 0.00","","",""
"LCP-Vibe-6","Vibe","1","","","","","","",""
"LCP-Vibe-7","Vibe","1","","","","","","",""
"LCP-Vibe-8","Vibe","1","","","","","","",""
"LCP-Vibe-9","Vibe","1","","","","","","",""
